lab_name,model_name,release_date,context_window_tokens,input_cost_usd_per_1m,output_cost_usd_per_1m,throughput_tokens_per_sec,swe_bench_verified_pct,mmlu_pct,weights,status,source_url,notes
OpenAI,"GPT-3 (text-davinci-003, text-davinci-002, text-davinci-001, text-curie, text-babbage, text-ada)",2020-06-11,2048,3,N/A,N/A,N/A,36.3,closed,retired,https://openai.com/blog/openai-api,"Original GPT-3 API release with multiple engine sizes (Ada, Babbage, Curie, Davinci). text-davinci-003 released later (~November 2022) as the final GPT-3.5-class instruct model before GPT-3.5 Turbo. text-davinci-002 released March 2022. Pricing evolved over time; original API was invite-only beta."
Google DeepMind,LaMDA,2021-05-18,N/A,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://blog.google/technology/ai/lamda/,"~137B parameters. Released May 2021 (paper); internal Google research model. Specialized for dialogue/conversation. Pre-trained on 1.56T words of public web documents and dialog data. Fine-tuned for quality, safety, and groundedness. Not released publicly; served internally and via limited API. Successor to Meena. Paper: ""LaMDA: Language Models for Dialog Applications"" (Google, 2022). Deprecated in favor of Gemini series."
Google DeepMind,Flan-T5 XXL (11B),2021-10-01,512,N/A,N/A,N/A,N/A,N/A,open,active,https://github.com/google-research/t5x/blob/main/docs/models.md#flan-t5-checkpoints,"Instruction-tuned variant of T5. Released October 2021 by Google Research. Sizes: Small (77M), Base (145M), Large (406M), XL (3B), XXL (11B). Paper: ""Scaling Instruction-Finetuned Language Models"" (Oct 2021). Apache 2.0 license. Flan-T5 XXL is the largest variant at ~11B parameters. Context window ~512 tokens. MMLU scores vary by size; XXL achieves competitive results on FLAN benchmarks. Included as it falls within the research lineage leading to subsequent Google models."
NVIDIA,Megatron-Turing NLG 530B,2021-10-01,2048,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://arxiv.org/abs/2201.11990,"530B parameters. Jointly developed by NVIDIA and Microsoft. Released October 1, 2021. Transformer decoder (Megatron-LM architecture). Trained on 338B tokens (Pile dataset). Context window 2048 tokens. Not publicly released �?? served via Azure NDv4 instances. One of the largest dense models at the time. Demonstrated strong zero-shot and few-shot performance. Paper: ""Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B"" (Smith et al., 2022). Source: https://theresanaiforthat.com/model/megatron-turing-nlg/"
Google DeepMind,Gopher 280B,2021-12-08,2048,N/A,N/A,N/A,N/A,74.8,closed,deprecated,https://www.deepmind.com/publications/scaling-language-models-methods-analysis-insights-from-training-gopher,"280B parameters. Released December 2021 by DeepMind (pre-Google merger). Dense transformer. Context window 2048 tokens. MMLU: 74.8% (5-shot). Not publicly released. Important for establishing scaling laws. Paper: ""Scaling Language Models: Methods, Analysis & Insights from Training Gopher"" (Rae et al., 2021)."
OpenAI,code-davinci-002,2022-03-01,8000,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.openai.com/docs/models,"Codex model specialized for code completion. Free during beta, then discontinued."
OpenAI,text-davinci-002,2022-03-01,4096,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.openai.com/docs/models,Early GPT-3.5-class model using InstructGPT training.
Google DeepMind,Chinchilla 70B,2022-03-29,N/A,N/A,N/A,N/A,N/A,77.6,closed,deprecated,https://arxiv.org/abs/2203.15556,"70B parameters, trained on 1.4T tokens. Released March 29, 2022 by DeepMind. Introduced the ""Chinchilla scaling laws"" (optimal model size vs. training tokens). MMLU: 77.6% (5-shot). Outperformed Gopher (280B) and GPT-3 (175B) despite being smaller. Not publicly released. One of the most influential LLM research papers. Paper: ""Training Compute-Optimal Large Language Models"" (Hoffmann et al., 2022)."
Google DeepMind,"Chinchilla 70B (70B params, 1.4T tokens)",2022-03-29,2048,N/A,N/A,N/A,N/A,77.6,closed,deprecated,https://arxiv.org/abs/2203.15556,"Same entry as above, emphasizing the Chinchilla scaling law contribution: models should be trained on ~20 tokens per parameter (not 2-3 as previously done). This insight reshaped LLM training across the industry. 2048 token context. Not released publicly."
Google DeepMind,PaLM 540B,2022-04-04,2048,N/A,N/A,N/A,N/A,79.3,closed,deprecated,https://ai.googleblog.com/2022/04/pathways-language-model-palm-scaling-to.html,"540B parameters. Released April 4, 2022 by Google Research. Dense decoder-only transformer trained on 780B tokens. Context window 2048 tokens. MMLU: 79.3% (5-shot). Achieved breakthrough performance on hundreds of benchmarks. Trained on TPUv4 pods. Not publicly released. Paper: ""PaLM: Scaling Language Modeling with Pathways"" (Chowdhery et al., 2022)."
Meta AI,OPT-13B,2022-05-03,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2205.01068,"13B parameters. Released May 3, 2022. Fully open. 2048 token context. Apache 2.0."
Meta AI,OPT-175B,2022-05-03,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2205.01068,"Full size range: 125M, 350M, 1.3B, 2.7B, 6.7B, 13B, 30B, 66B, 175B �?? all released May 3, 2022. GPT-3 architecture replica trained by Meta. 175B version required approved research access; smaller sizes fully open. Pre-trained on 180B tokens. Context window 2048 tokens. Apache 2.0 license for smaller sizes; OPT-175B required research agreement. Open-sourced training logbook and metaseq codebase. Trained on 992 A100-80GB GPUs. ~1/7th carbon footprint of GPT-3. Paper: ""OPT: Open Pre-trained Transformer Language Models"" (Zhang et al., 2022). Source: https://arxiv.org/pdf/2205.01068"
Meta AI,OPT-30B,2022-05-03,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2205.01068,"30B parameters. Released May 3, 2022. Fully open. 2048 token context. Apache 2.0."
Meta AI,OPT-6.7B,2022-05-03,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2205.01068,"6.7B parameters. Released May 3, 2022. Fully open. 2048 token context."
Meta AI,OPT-66B,2022-05-03,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2205.01068,"66B parameters. Released May 3, 2022 alongside the full OPT family. Fully open weights (no access restrictions). Context window 2048 tokens. Apache 2.0 license. Part of Meta's first major open LLM release."
Google DeepMind,LaMDA 2,2022-05-11,N/A,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://blog.google/technology/ai/lamda2-open-preview/,Released at Google I/O 2022. Improved version of LaMDA with better factual grounding. Opened to limited preview for developers. ~137B parameters. Part of Google's dialogue model research lineage leading to Gemini. Status: deprecated.
Zhipu AI,CodeGeeX,2022-09-01,2048,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/THUDM/CodeGeeX,"First version of CodeGeeX. 13B parameters. Trained on 850B tokens across 23 programming languages using 1,536 Ascend 910 AI processors. Open-sourced Sep 2022 with IDE extensions for JetBrains and VS Code."
Meta AI,Galactica 120B,2022-11-15,2048,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://galactica.org/ (archived),"Scientific language model. Full size range: 125M, 1.3B, 6.7B, 30B, 120B �?? all released November 15, 2022. Trained on 106B tokens of scientific data (48M papers, 360M citations). 120B version fit on single A100 node (80GB). Demo was withdrawn after 3 days (November 17, 2022) due to criticism over generating fabricated citations. Model weights remain available on Hugging Face. Apache 2.0 license. Notable as one of the first major ""science LLMs."" Source: https://link.springer.com/article/10.1007/s00146-024-02088-7"
OpenAI,text-davinci-003,2022-11-28,4096,2,2,N/A,N/A,N/A,closed,retired,https://platform.openai.com/docs/models,Best GPT-3 completions model before Turbo. Improved instruction following.
Google DeepMind,Flan-UL2,2022-12-15,2048,N/A,N/A,N/A,N/A,N/A,open,active,https://github.com/google-research/google-research/tree/master/ul2,"~20B parameters. Released December 2022 by Google Research. UL2 is an encoder-decoder model trained with a mixture of denoisers. Flan-UL2 is the instruction-tuned variant. Apache 2.0 license. Context window ~2048 tokens. Important as an open-source predecessor to PaLM-era models. Paper: ""UL2: Unifying Language Learning Paradigms"" (May 2022)."
Meta AI,Llama 1 13B,2023-02-24,2048,N/A,N/A,N/A,N/A,46.9,gated,deprecated,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,"Released February 24, 2023. MMLU ~46.9%. Gated/research license. Weights were leaked, leading to widespread open-source fine-tuning."
Meta AI,Llama 1 33B,2023-02-24,2048,N/A,N/A,N/A,N/A,57.8,gated,deprecated,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,"Released February 24, 2023. MMLU ~57.8%. Gated access."
Meta AI,Llama 1 65B,2023-02-24,2048,N/A,N/A,N/A,N/A,63.4,gated,deprecated,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,"Largest Llama 1 variant. Released February 24, 2023. MMLU ~63.4%. Gated access."
Meta AI,Llama 1 7B,2023-02-24,2048,N/A,N/A,N/A,N/A,35.1,gated,deprecated,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,"Original LLaMA release. Released February 24, 2023. Sizes: 7B, 13B, 33B, 65B. All trained on 1T+ tokens (varying by size). Gated access (research license, weights leaked). 7B MMLU: ~35.1%. 2048 token context. LLaMA-13B matched or exceeded GPT-3 on many benchmarks despite being much smaller. Transformer architecture with pre-normalization, SwiGLU activations, and rotary positional embeddings. Catalyzed the open-source LLM revolution (Alpaca, Vicuna, etc.). Source: https://arxiv.org/html/2510.12178v1"
OpenAI,gpt-3.5-turbo,2023-03-01,4096,0.5,1.5,60,N/A,70,closed,deprecated,https://openai.com/blog/introducing-chatgpt-and-whisper-apis,"First chat-optimized GPT-3.5 model. Pricing was later reduced to $0.50/$1.50 in March 2023, then further to $0.50/$1.50. Legacy variant deprecated in favor of gpt-3.5-turbo-0125."
Anthropic,Claude 1,2023-03-14,100000,8,24,N/A,N/A,N/A,closed,retired,https://originality.ai/blog/claude-ai-statistics,Anthropic's first public release. Constitutional AI-based. No public MMLU or SWE-bench scores available. Pricing inferred from Claude 2.0 rates. Context window was ~100K tokens. Retired.
Anthropic,Claude Instant 1.1,2023-03-14,100000,0.8,2.4,N/A,N/A,N/A,closed,retired,https://originality.ai/blog/claude-ai-statistics,"Streamlined, faster model with limited capabilities. Released alongside Claude 1.0. Claude Instant 1.2 released 2023-08-09."
OpenAI,gpt-4 (8K),2023-03-14,8192,30,60,25,N/A,86.4,closed,deprecated,https://openai.com/research/gpt-4,Initial GPT-4 release with 8K context. Also available in 32K context variant. Multimodal (text + image). Later pricing reduced significantly.
OpenAI,gpt-4-32k,2023-03-14,32768,60,120,15,N/A,86.4,closed,deprecated,https://openai.com/research/gpt-4,32K context variant of GPT-4 base. Very expensive at launch.
Zhipu AI,ChatGLM-130B (cloud API),2023-03-14,8192,N/A,N/A,N/A,N/A,85,closed,deprecated,https://chatglm.cn,Larger ChatGLM variants from 12B to 130B parameters. ChatGLM-130B was the cloud API model (~85% of ChatGPT performance). Only 6B was open-sourced. Larger variants were proprietary API-only.
Zhipu AI,ChatGLM-6B,2023-03-14,2048,N/A,N/A,N/A,N/A,40.6,open,deprecated,https://github.com/THUDM/ChatGLM-6B,"First open-source ChatGLM model. 6B parameters, trained on 1T bilingual tokens. INT4 quantization fits in 6GB GPU. 10M downloads on HuggingFace. #1 on GitHub Trending Mar 2023. MMLU: ~40.6% (chat, zero-shot CoT). GSM8K: 4.82%. BBH: 18.73%. Apache-2.0 license. Distilled from GLM-130B."
Anthropic,Claude 1.3,2023-04-18,100000,8,24,N/A,N/A,N/A,closed,retired,https://originality.ai/blog/claude-ai-statistics,Improved reasoning and code generation over Claude 1.0. Exact benchmark scores not publicly reported.
Zhipu AI,CodeGeeX2,2023-05-01,N/A,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/THUDM/CodeGeeX2,Second generation. 6B parameters. Based on ChatGLM2 architecture. Significant improvements in code generation.
Google DeepMind,PaLM 2 Bison,2023-05-10,8192,0.5,1,N/A,N/A,81.2,closed,deprecated,https://ai.google.dev/models/palm2,"Released at Google I/O 2023 (May 10, 2023). Multiple size variants: Gecko, Otter, Bison, Unicorn. Bison is the mid-size workhorse. MMLU 5-shot ~81.2% (Bison). Context window 8192 tokens. Pricing was $0.50/1M input, $1.00/1M output for Bison chat. Deprecated February 2025; replaced by Gemini series. PaLM 2 improved on multilingual, reasoning, and coding capabilities over PaLM. Not publicly weighted �?? closed API-only."
Google DeepMind,PaLM 2 Unicorn,2023-05-10,8192,N/A,N/A,N/A,N/A,83.6,closed,deprecated,https://ai.google.dev/models/palm2,Largest PaLM 2 variant. MMLU ~83.6% (5-shot). Same release date as PaLM 2 Bison. Limited API availability. Deprecated with transition to Gemini.
OpenAI,gpt-3.5-turbo-16k,2023-06-13,16384,3,4,50,N/A,70,closed,deprecated,https://platform.openai.com/docs/models/gpt-3-5-turbo,Extended context variant. Later pricing dropped to $0.50/$1.50 for input/output with model updates.
Zhipu AI,ChatGLM2-6B,2023-06-25,32000,N/A,N/A,N/A,N/A,45.5,open,deprecated,https://github.com/THUDM/ChatGLM2-6B,"Second generation. 6B parameters, trained on 1.4T bilingual tokens. 42% faster inference than ChatGLM-6B. Free commercial use. MMLU: +23% over ChatGLM-6B (45.5% chat, 47.9% base). C-Eval: 50.1% (chat). GSM8K: 28.05% (chat). BBH: 30.0%. #1 on HF Trending Jun-Jul 2023. FlashAttention + Multi-Query Attention."
Zhipu AI,ChatGLM2-6B-32K,2023-06-25,32000,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://huggingface.co/THUDM/chatglm2-6b-32k,32K context variant of ChatGLM2-6B. Same base model with extended context via YaRN/FlashAttention techniques.
Anthropic,Claude 2.0,2023-07-11,100000,8,24,N/A,N/A,N/A,closed,retired,https://originality.ai/blog/claude-ai-statistics,Doubled context to 100K tokens. Stronger coding and analysis. Pioneered long-context processing. Performance degrades after ~70K tokens. Hallucination rate moderate.
Meta AI,Llama 2 13B,2023-07-18,4096,N/A,N/A,N/A,N/A,54.8,open,active,https://ai.meta.com/llama/,"Released July 18, 2023. MMLU ~54.8% (5-shot). 4096 token context. Llama 2 license."
Meta AI,Llama 2 70B,2023-07-18,4096,0.9,0.9,N/A,N/A,69.6,open,active,https://ai.meta.com/llama/,"Released July 18, 2023. MMLU ~69.6% (5-shot). 4096 token context. GQA for inference efficiency. API pricing (varies by provider): ~$0.70-$0.90/1M tokens. Llama 2 license. Pre-trained on 2T tokens, 3.3M GPU hours on A100-80GB. 539 tCO2eq (100% offset). Source: https://ai.meta.com/blog/future-of-ai-built-with-llama/"
Meta AI,Llama 2 7B,2023-07-18,4096,N/A,N/A,N/A,N/A,45.8,open,active,https://ai.meta.com/llama/,"Released July 18, 2023. Sizes: 7B, 13B, 70B + Code Llama variants. All trained between January 2023 and July 2023. 7B MMLU: ~45.8% (5-shot). Context window 4096 tokens (double Llama 1). Llama 2 Chat versions fine-tuned with SFT + RLHF. Llama 2 license (custom commercial license with 700M user threshold). Pre-trained on 2T tokens. Grouped-Query Attention (GQA) used for 70B. Source: https://huggingface.co/meta-llama/Llama-2-7b"
Alibaba,Qwen-VL-Chat,2023-08-01,8192,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://huggingface.co/Qwen/Qwen-VL-Chat,First multimodal model in Qwen family. 7B parameters. Processes image and text input. Tongyi Qianwen license. ```
ByteDance,Skylark / Doubao (initial),2023-08-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://www.volcengine.com,Internally incubated throughout 2023. First LLM from ByteDance. Rebranded from Skylark to Doubao. ```
MiniMax,MiniMax-abab5.5,2023-08-01,8192,N/A,N/A,N/A,N/A,N/A,closed,deprecated,https://baike.baidu.com/en/item/MiniMax%20Open%20Platform/1419742,Early abab series model. Passed national first batch of large model service filings Aug 2023. Opened to public by end of Aug 2023. Exact specs unclear �?? precursor to abab6.
Alibaba,Qwen-7B,2023-08-03,8192,N/A,N/A,N/A,N/A,58.2,open,retired,https://huggingface.co/Qwen/Qwen-7B,"Initial release. 7B parameters. Training data: 2.2T tokens (v1), 2.4T (v2). 32 layers, 4096 hidden dim. Apache 2.0 license for some variants. ```"
Alibaba,Qwen-7B-Chat / Qwen-14B-Chat / Qwen-72B-Chat,2023-08-03,2048,N/A,N/A,N/A,N/A,53.9,open,retired,https://github.com/QwenLM/Qwen,Chat-tuned variants using SFT and RLHF. Int4/Int8 quantization support added in October 2023. ```
Anthropic,Claude Instant 1.2,2023-08-09,100000,0.8,2.4,N/A,N/A,N/A,closed,retired,https://originality.ai/blog/claude-ai-statistics,Update to Claude Instant 1.1 with improved performance.
Meta AI,Code Llama 70B,2023-08-24,16384,N/A,N/A,N/A,N/A,N/A,open,active,https://ai.meta.com/blog/code-llama-large-language-model-coding/,"Code-specialized Llama 2. Released August 24, 2023. Sizes: 7B, 13B, 34B, 70B. Three variants per size: Code Llama (foundation), Code Llama - Python, Code Llama - Instruct. 16K token context (4x Llama 2). Infilling capabilities. HumanEval: 53.7% (70B Instruct). Llama 2 community license. Source: https://github.com/facebookresearch/codellama"
Meta AI,Llama 2 Long 70B,2023-09-01,32768,N/A,N/A,N/A,N/A,N/A,open,active,https://arxiv.org/abs/2309.16039,"Long-context variant of Llama 2. ~32K token context. Released September 2023 as research paper. Uses positional interpolation to extend context. Sizes: 7B, 13B, 70B. Paper: ""Llama Long: Efficient Long-Context Inference with LLaMA"" (Chen et al., 2023). Research release."
OpenAI,gpt-3.5-turbo-instruct,2023-09-01,4096,1.5,2,60,N/A,70,closed,deprecated,https://platform.openai.com/docs/models/gpt-3-5-turbo,Instruct-tuned variant for completions API (not chat). Replaced text-davinci-003.
Alibaba,Qwen-14B,2023-09-25,8192,N/A,N/A,N/A,N/A,66.3,open,retired,https://huggingface.co/Qwen/Qwen-14B,14B parameters. 3.0T training tokens. Released alongside Qwen-7B v2. ```
Mistral AI,Mistral 7B,2023-09-27,32768,N/A,N/A,N/A,N/A,60.1,open,active,https://d-central.tech/ai/model/mistral-7b/,"Mistral AI's debut model. 7.3B parameters. Apache 2.0 license. Popularized Grouped-Query and Sliding Window Attention. Outperformed Llama 2 13B. MATH 13.1%, MT-Bench 6.84, HumanEval 30.5%, MMLU 60.1%."
Mistral AI,Mistral 7B Instruct,2023-09-27,32768,N/A,N/A,N/A,N/A,60.1,open,active,https://d-central.tech/ai/model/mistral-7b/,Instruction-tuned variant of Mistral 7B.
Zhipu AI,ChatGLM3-6B,2023-10-27,8192,N/A,N/A,N/A,N/A,61.4,open,deprecated,https://huggingface.co/THUDM/chatglm3-6b,Third generation. Significant capability improvements. MMLU base: 61.4%. GSM8K: 72.3%. HumanEval: 58.5%. C-Eval: 69.0%. CMMLU: 67.5%. Custom 'ChatGLM3-6B License' (not standard Apache). Foundation for CodeGeeX3-6B.
Zhipu AI,ChatGLM3-6B-128K,2023-10-27,128000,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://huggingface.co/THUDM,128K context variant. For very long document processing.
Zhipu AI,ChatGLM3-6B-32K,2023-10-27,32000,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://huggingface.co/THUDM/chatglm3-6b-32k,32K context variant. Extended context for long-document tasks.
Zhipu AI,CodeGeeX3,2023-10-27,N/A,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/THUDM,Third generation. Based on ChatGLM3-6B. Improved multilingual code generation.
NVIDIA,Nemotron-3 8B,2023-11-01,N/A,N/A,N/A,N/A,N/A,N/A,gated,deprecated,https://developer.nvidia.com/nemotron,First Nemotron release. November 2023. Enterprise-ready models via NVIDIA NeMo. 8B parameter base model plus chat-sft and chat-rlhf variants. Part of NVIDIA's NeMo framework. Nemotron-3 also included 22B and 43B variants. Gated access via NVIDIA AI Enterprise. Source: https://www.interconnects.ai/p/why-nvidia-builds-open-models-with
DeepSeek,DeepSeek-Coder-1.3B,2023-11-02,16384,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/deepseek-ai/DeepSeek-Coder,"First DeepSeek model. 1.3B parameters, trained on 2T tokens (87% code, 13% natural language). Llama-like architecture. Open-sourced under DeepSeek License. Also available as 5.7B, 6.7B, 33B variants. HuggingFace: deepseek-ai/deepseek-coder-1.3b-base"
DeepSeek,DeepSeek-Coder-33B,2023-11-02,16384,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/deepseek-ai/DeepSeek-Coder,"33B parameter coding model �?? largest in Coder V1 family. Instruct variant achieves 73.8% on HumanEval, competitive with GPT-3.5 Turbo at the time."
DeepSeek,DeepSeek-Coder-6.7B,2023-11-02,16384,N/A,N/A,N/A,N/A,N/A,open,deprecated,https://github.com/deepseek-ai/DeepSeek-Coder,6.7B parameter coding model. Base and Instruct variants. HumanEval: ~48% (Instruct). HuggingFace collection updated Feb 2024.
xAI,Grok-1,2023-11-04,8192,N/A,N/A,30,N/A,73,open,deprecated,https://x.ai/blog/grok,"314B parameter Mixture-of-Experts model (25% active weights). First xAI model. Released as open-weight model on March 17, 2024 under Apache 2.0 license. Real-time access to X (Twitter) data. Knowledge cutoff Q3 2023."
