canonical_name,developer,operator,status_current,status_current_date,state,city,lat,long,capacity_mw,capacity_mw_source_confidence,source_url
123NET DC1 Southfield,123NET,123NET,operational,,MI,Southfield,42.47337,-83.22187,4,medium,https://www.123.net/news/123net-expands-dc1/
123NET DC2 Southfield NW,123NET,123NET,operational,,MI,Southfield,42.47337,-83.22187,1,medium,https://www.ocolo.io/colocation/123net/
123NET DC3 Southfield W,123NET,123NET,operational,,MI,Southfield,42.47337,-83.22187,,none,https://www.datacenters.com/providers/123net/data-center-locations
123NET DC4 Grand Rapids,123NET,123NET,operational,,MI,Byron Center,42.81225,-85.72281,,none,https://www.datacenters.com/providers/123net/data-center-locations
1547 Harrison Street,1547/Harrison Street,1547,operational,2025-04-03,HI,Honolulu,21.30694,-157.85833,5,low,https://harrisonst.com/1547-and-harrison-street-acquire-drfortress-hawaiis-leading-carrier-neutral-data-center/
1547 Harrison Street DRFortress,1547 Critical Systems Realty/Harrison Street,1547,operational,2025-04-03,HI,Honolulu,21.30694,-157.85833,5,low,https://harrisonst.com/1547-and-harrison-street-acquire-drfortress-hawaiis-leading-carrier-neutral-data-center/
1547 Harrison Street South Bend,1547/Harrison Street,1547,operational,2025-01-01,IN,South Bend,41.68338,-86.25001,,none,https://harrisonst.com/
5C Data Center Memphis,5C Group,5C Data Centers,announced,2025-11-18,TN,Memphis,35.14953,-90.04898,,none,https://www.localmemphis.com/article/news/local/data-center-developer-proposes-152-million-project-in-memphis/522-34f7288c-d7f6-462a-9c98-c0e37f3a00f6
5C Data Center Phoenix,5C Data Centers,5C Data Centers,operational,2025-01-01,AZ,Phoenix,33.44838,-112.07404,,none,https://baxtel.com/data-centers/5c-data-centers
900 Conshohocken Road Data Center,900 Conshohocken Road LLC,Brian O'Neill (developer),permitting,2025-11-17,PA,Conshohocken,40.07928,-75.30157,,none,https://www.datacenterdynamics.com/en/news/legal-issues-force-developer-to-withdraw-data-center-proposal-in-plymouth-township-pennsylvania/
Alcove Development - Osawatomie Data Center,Alcove Development,Alcove Development,announced,2026-02-21,KS,Osawatomie,38.49724,-94.95052,100,low,https://www.datacenterdynamics.com/en/news/115-acre-data-center-could-come-to-osawatomie-kansas-says-local-government/
Aligned Data Centers ATL-01,Aligned Data Centers,Aligned Data Centers,operational,2024-01-01,GA,Lithia Springs,33.794,-84.66049,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers CMH-02,Aligned Data Centers,Aligned Data Centers,under_construction,2024-01-01,OH,Conesville,40.18396,-81.89097,36,low,https://www.datacenters.com/providers/aligned-data-centers/data-center-locations
Aligned Data Centers DFW-01,Aligned Data Centers,Aligned Data Centers,operational,2018-01-01,TX,Plano,33.01984,-96.69889,60,high,https://aligneddc.com/dallas-data-centers/
