lab_name,model_name,release_date,context_window_tokens,input_cost_usd_per_1m,output_cost_usd_per_1m,throughput_tokens_per_sec,swe_bench_verified_pct,mmlu_pct,weights,status,source_url,notes
Anthropic,claude sonnet 4 20250514,2026-06-15,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 20250514,2026-06-15,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Google DeepMind,gemini 2.0 flash,2026-06-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Google DeepMind,gemini 2.0 flash 001,2026-06-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Google DeepMind,gemini 2.0 flash lite,2026-06-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Google DeepMind,gemini 2.0 flash lite 001,2026-06-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
DeepSeek,DeepSeek: DeepSeek V4 Pro,2026-04-24,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/deepseek/deepseek-v4-pro,OpenRouter models API auto-detected. canonical_slug=deepseek/deepseek-v4-pro-20260423.
DeepSeek,DeepSeek: DeepSeek V4 Flash,2026-04-24,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/deepseek/deepseek-v4-flash,OpenRouter models API auto-detected. canonical_slug=deepseek/deepseek-v4-flash-20260423.
Google DeepMind,gemini api,2026-04-24,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Anthropic,claude 3 haiku 20240307,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 7,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude sonnet 4 20250514,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 20250514,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 7 sonnet 20250219,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 5 haiku 20241022,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude sonnet 4 6,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 6,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 opus 20240229,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 5,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude haiku 4 5,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude sonnet 4 5,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 5 sonnet 20240620,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 5 sonnet 20241022,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude sonnet 4 5 20250929,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude opus 4 1,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 7 sonnet,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 5 sonnet,2026-04-23,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Google DeepMind,gemini embedding 2,2026-04-22,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
OpenAI,OpenAI: GPT-5.4 Image 2,2026-04-21,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/openai/gpt-5.4-image-2,OpenRouter models API auto-detected. canonical_slug=openai/gpt-5.4-image-2-20260421.
Anthropic,Anthropic: Claude Opus Latest,2026-04-21,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/~anthropic/claude-opus-latest,OpenRouter models API auto-detected. canonical_slug=~anthropic/claude-opus-latest.
Moonshot AI,MoonshotAI: Kimi K2.6,2026-04-20,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/moonshotai/kimi-k2.6,OpenRouter models API auto-detected. canonical_slug=moonshotai/kimi-k2.6-20260420.
Anthropic,claude 3 haiku 20240307,2026-04-20,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,claude 3 haiku 20240307,2026-04-19,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Anthropic,Anthropic: Claude Opus 4.7,2026-04-16,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/anthropic/claude-opus-4.7,OpenRouter models API auto-detected. canonical_slug=anthropic/claude-4.7-opus-20260416.
Anthropic,claude opus 4 7,2026-04-16,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://platform.claude.com/docs/en/release-notes/api,Anthropic API release notes extraction.
Google DeepMind,gemini robotics er 1.6 preview,2026-04-14,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Google DeepMind,gemini robotics er 1.5 preview,2026-04-14,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Anthropic,Anthropic: Claude Opus 4.6 (Fast),2026-04-07,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/anthropic/claude-opus-4.6-fast,OpenRouter models API auto-detected. canonical_slug=anthropic/claude-4.6-opus-fast-20260407.
Z Ai,Z.ai: GLM 5.1,2026-04-07,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/z-ai/glm-5.1,OpenRouter models API auto-detected. canonical_slug=z-ai/glm-5.1-20260406.
Google DeepMind,Google: Gemma 4 26B A4B (free),2026-04-03,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/google/gemma-4-26b-a4b-it:free,OpenRouter models API auto-detected. canonical_slug=google/gemma-4-26b-a4b-it-20260403.
Google DeepMind,Google: Gemma 4 26B A4B,2026-04-03,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/google/gemma-4-26b-a4b-it,OpenRouter models API auto-detected. canonical_slug=google/gemma-4-26b-a4b-it-20260403.
Google DeepMind,Google: Gemma 4 31B (free),2026-04-02,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/google/gemma-4-31b-it:free,OpenRouter models API auto-detected. canonical_slug=google/gemma-4-31b-it-20260402.
Google DeepMind,Google: Gemma 4 31B,2026-04-02,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/google/gemma-4-31b-it,OpenRouter models API auto-detected. canonical_slug=google/gemma-4-31b-it-20260402.
Alibaba,Qwen: Qwen3.6 Plus,2026-04-02,N/A,N/A,N/A,N/A,N/A,N/A,open,active,https://openrouter.ai/qwen/qwen3.6-plus,OpenRouter models API auto-detected. canonical_slug=qwen/qwen3.6-plus-04-02.
Google DeepMind,gemma 4 26b a4b it,2026-04-02,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Google DeepMind,gemma 4 31b it,2026-04-02,N/A,N/A,N/A,N/A,N/A,N/A,closed,retired,https://ai.google.dev/gemini-api/docs/changelog,Google Gemini API changelog extraction.
Z Ai,Z.ai: GLM 5V Turbo,2026-04-01,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/z-ai/glm-5v-turbo,OpenRouter models API auto-detected. canonical_slug=z-ai/glm-5v-turbo-20260401.
xAI,xAI: Grok 4.20 Multi-Agent,2026-03-31,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/x-ai/grok-4.20-multi-agent,OpenRouter models API auto-detected. canonical_slug=x-ai/grok-4.20-multi-agent-20260309.
xAI,xAI: Grok 4.20,2026-03-31,N/A,N/A,N/A,N/A,N/A,N/A,closed,active,https://openrouter.ai/x-ai/grok-4.20,OpenRouter models API auto-detected. canonical_slug=x-ai/grok-4.20-20260309.
